,Airline,IATA
241,Virgin Atlantic,VS
242,Virgin Australia,VA
243,VLM Airlines,VG
244,Volaris,Y4*
245,Volga-Dnepr Airlines,VI*
246,VRG Linhas Aéreas S.A. - Grupo GOL,G3
247,White coloured by you,WI
248,Wideroe,WF
249,Xiamen Airlines,MF
250,Yemenia,IY
251,Silk Way Airlines,ZP
252,Silk Way West Airlines Limited,7L
